base_name,strain,gene,allele,zenodo_id,timestamp,amplitude_ratio,amplitude_ratio_forward,amplitude_ratio_backward
mec-12 (e1605) on food L_2010_10_01__12_27_42__3,AQ1031,mec-12,e1605,1016623,2010-10-01 12:27,0.695751,0.712495,0.696811
mec-12 (e1605) on food L_2010_10_28__12_59_53__7,AQ1031,mec-12,e1605,1016892,2010-10-28 12:59,0.708843,0.718315,0.733603
mec-12 (e1605) on food R_2010_09_30__12_28_20__7,AQ1031,mec-12,e1605,1023874,2010-09-30 12:28,0.693943,0.703139,0.700306
mec-12 (e1605) on food R_2010_09_30__12_28_20__7,AQ1031,mec-12,e1605,129923,2010-09-30 12:28,0.693943,0.703139,0.700306
mec-12 (e1605) on food R_2010_11_04__11_18_55__3,AQ1031,mec-12,e1605,1018597,2010-11-04 11:18,0.725783,0.718733,0.740198
mec-12 (e1605) on food L_2010_09_30__12_25___3___7,AQ1031,mec-12,e1605,1033520,2010-09-30 12:25,0.71013,0.709421,0.718652
mec-12 (e1605) on food L_2010_10_21__11_25___3___2,AQ1031,mec-12,e1605,1028924,2010-10-21 11:25,0.692229,0.680025,0.719801
mec-12 (e1605) on food L_2010_10_28__11_37___3___3,AQ1031,mec-12,e1605,1025679,2010-10-28 11:37,0.71229,0.717509,0.728181
mec-12 (e1605) on food L_2010_11_04__12_37___3___7,AQ1031,mec-12,e1605,1015569,2010-11-04 12:37,0.683993,0.718937,0.746876
mec-12 (e1605) on food L_2010_11_04__12_37___3___7,AQ1031,mec-12,e1605,129599,2010-11-04 12:37,0.683993,0.718937,0.746876
mec-12 (e1605) on food R_2010_10_01__12_25___3___3,AQ1031,mec-12,e1605,1019082,2010-10-01 12:25,0.692466,0.688918,0.707497
mec-12 (e1605) on food R_2010_10_28__11_15___3___2,AQ1031,mec-12,e1605,1019042,2010-10-28 11:15,0.695028,0.689756,0.711482
mec-12 (e1605)) on food R_2010_11_04__12_56___3___8,AQ1031,mec-12,e1605,1007467,2010-11-04 12:56,0.685165,0.676446,0.686828
mec-12 (e1605) on food L_2010_10_21__12_46_27___6___,AQ1031,mec-12,e1605,1005542,2010-10-21 12:46,0.698512,0.722071,0.729583
mec-12 (e1605) on food L_2010_09_30__12_24_24___1___8,AQ1031,mec-12,e1605,1020495,2010-09-30 12:24,0.708615,0.723933,0.723908
mec-12 (e1605) on food L_2010_09_30__12_25_35___2___7,AQ1031,mec-12,e1605,1020258,2010-09-30 12:25,0.663621,0.716065,0.713953
mec-12 (e1605) on food L_2010_09_30__12_28_22___7___7,AQ1031,mec-12,e1605,1014196,2010-09-30 12:28,0.692889,0.69555,0.696381
mec-12 (e1605) on food L_2010_10_01__12_25_25___6___3,AQ1031,mec-12,e1605,1003312,2010-10-01 12:25,0.696766,0.708145,0.723923
mec-12 (e1605) on food L_2010_10_01__12_27_45___7___3,AQ1031,mec-12,e1605,1017793,2010-10-01 12:27,0.708181,0.709183,0.718179
mec-12 (e1605) on food L_2010_10_21__12_28_30___7___5,AQ1031,mec-12,e1605,1019567,2010-10-21 12:28,0.703214,0.705498,0.718871
mec-12 (e1605) on food L_2010_10_28__10_55_39___2___1,AQ1031,mec-12,e1605,1017959,2010-10-28 10:55,0.678097,0.711418,0.696364
mec-12 (e1605) on food L_2010_10_28__12_18_34___7___5,AQ1031,mec-12,e1605,1019990,2010-10-28 12:18,0.713323,0.714786,0.710129
mec-12 (e1605) on food L_2010_10_28__12_37_10___6___6,AQ1031,mec-12,e1605,1006072,2010-10-28 12:37,0.697496,0.71308,0.695679
mec-12 (e1605) on food L_2010_11_04__12_16_10___1___6,AQ1031,mec-12,e1605,1020957,2010-11-04 12:16,0.602451,0.630216,0.669033
mec-12 (e1605) on food R_2010_09_30__12_26_02___6___7,AQ1031,mec-12,e1605,1006144,2010-09-30 12:26,0.743097,0.745974,0.725361
mec-12 (e1605) on food R_2010_09_30__12_27_47___8___7,AQ1031,mec-12,e1605,1018994,2010-09-30 12:27,0.691177,0.702695,0.714836
mec-12 (e1605) on food R_2010_10_01__12_23_52___1___3,AQ1031,mec-12,e1605,1022220,2010-10-01 12:23,0.71498,0.720343,0.718571
mec-12 (e1605) on food R_2010_10_01__12_25_03___2___3,AQ1031,mec-12,e1605,1019325,2010-10-01 12:25,0.719139,0.730046,0.731785
mec-12 (e1605) on food R_2010_10_01__12_27_11___8___3,AQ1031,mec-12,e1605,1021629,2010-10-01 12:27,0.712525,0.713778,0.730751
mec-12 (e1605) on food R_2010_10_21__11_05_03___2___1,AQ1031,mec-12,e1605,1021863,2010-10-21 11:05,0.70465,0.734661,0.754932
mec-12 (e1605) on food R_2010_10_21__12_07_13___8___3,AQ1031,mec-12,e1605,1026469,2010-10-21 12:07,0.726913,0.706839,0.741735
mec-12 (e1605) on food R_2010_11_04__10_38_37___7___1,AQ1031,mec-12,e1605,1017058,2010-11-04 10:38,0.685685,0.68502,0.695944
